City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
68,praia da vitoria,PT,2021-12-27 00:10:52,38.7333,-27.0667,63.75,89,47,32.93
69,mindelo,CV,2021-12-27 00:10:53,16.8901,-24.9804,72.34,69,0,15.26
70,esperance,AU,2021-12-27 00:10:53,-33.8667,121.9,68.27,57,2,15.05
71,hihya,EG,2021-12-27 00:10:54,30.6713,31.588,52.68,83,0,5.79
72,faanui,PF,2021-12-27 00:10:54,-16.4833,-151.75,80.78,69,52,9.4
73,port hardy,CA,2021-12-27 00:09:50,50.6996,-127.4199,22.75,45,2,7.2
74,kachug,RU,2021-12-27 00:10:55,53.9606,105.8817,-17.46,99,59,0.65
75,marsaxlokk,MT,2021-12-27 00:10:55,35.8419,14.5431,61.41,88,0,9.22
76,blagoyevo,RU,2021-12-27 00:10:56,63.3667,47.9167,8.26,93,100,7.58
77,gamba,GA,2021-12-27 00:10:56,-2.65,10.0,75.56,89,100,4.54
78,longyearbyen,SJ,2021-12-27 00:10:57,78.2186,15.6401,17.44,67,0,12.66
79,bolama,GW,2021-12-27 00:10:57,11.5833,-15.4667,79.38,67,100,5.32
80,sonoma,US,2021-12-27 00:09:25,38.55,-122.9011,47.1,85,90,3.44
81,santa cruz,BO,2021-12-27 00:07:53,-17.8,-63.1667,81.86,61,82,0.0
82,shestakovo,RU,2021-12-27 00:10:58,56.4915,103.96,-11.65,98,99,1.5
83,hailar,CN,2021-12-27 00:10:58,49.2,119.7,-22.41,99,25,3.38
84,sao filipe,CV,2021-12-27 00:10:59,14.8961,-24.4956,76.82,64,0,7.76
85,salalah,OM,2021-12-27 00:10:59,17.0151,54.0924,71.69,73,0,3.44
86,coahuayana,MX,2021-12-27 00:11:00,18.7333,-103.6833,81.88,76,60,3.38
87,port alfred,ZA,2021-12-27 00:11:00,-33.5906,26.891,70.52,84,93,1.72
88,taoudenni,ML,2021-12-27 00:11:01,22.6783,-3.9836,69.75,26,7,7.76
89,saskylakh,RU,2021-12-27 00:11:01,71.9167,114.0833,-23.73,97,87,5.7
90,bethel,US,2021-12-27 00:11:02,41.3712,-73.414,41.9,69,7,1.99
91,mali,GN,2021-12-27 00:11:03,12.079,-12.2982,66.2,18,100,1.36
92,bambous virieux,MU,2021-12-27 00:11:03,-20.3428,57.7575,76.21,82,44,10.29
93,ushuaia,AR,2021-12-27 00:08:02,-54.8,-68.3,53.26,43,20,17.27
94,klaksvik,FO,2021-12-27 00:11:04,62.2266,-6.589,40.12,83,100,27.13
95,grindavik,IS,2021-12-27 00:11:04,63.8424,-22.4338,32.9,100,90,9.22
96,bengkulu,ID,2021-12-27 00:12:04,-3.8004,102.2655,75.56,89,85,4.79
97,the pas,CA,2021-12-27 00:12:05,53.8251,-101.2541,-7.94,90,100,6.93
98,lima,PE,2021-12-27 00:10:12,-12.0432,-77.0282,68.25,73,0,13.8
99,sioux lookout,CA,2021-12-27 00:07:10,50.1001,-91.917,-2.9,94,34,5.86
100,carauari,BR,2021-12-27 00:12:06,-4.8828,-66.8958,76.06,96,94,2.17
101,kaitangata,NZ,2021-12-27 00:12:06,-46.2817,169.8464,58.93,61,100,1.28
102,chuy,UY,2021-12-27 00:12:07,-33.6971,-53.4616,63.99,75,0,4.05
103,saint-philippe,RE,2021-12-27 00:12:07,-21.3585,55.7679,76.59,87,62,11.05
104,san cristobal,VE,2021-12-27 00:12:08,7.7669,-72.225,67.42,96,78,1.03
105,pringsewu,ID,2021-12-27 00:12:08,-5.3582,104.9744,75.49,95,80,0.85
106,kargil,IN,2021-12-27 00:12:09,34.5667,76.1,6.89,86,98,3.58
107,bredasdorp,ZA,2021-12-27 00:12:09,-34.5322,20.0403,68.29,88,77,3.47
108,makat,KZ,2021-12-27 00:12:10,47.6469,53.3463,29.8,81,100,23.0
109,tuktoyaktuk,CA,2021-12-27 00:12:10,69.4541,-133.0374,-2.2,84,90,31.07
110,iquitos,PE,2021-12-27 00:12:11,-3.7481,-73.2472,82.44,83,75,3.44
111,lethem,GY,2021-12-27 00:12:11,3.3803,-59.7968,81.03,66,69,9.6
112,zhigansk,RU,2021-12-27 00:12:12,66.7697,123.3711,-33.79,99,100,5.3
113,chipinge,ZW,2021-12-27 00:12:12,-20.1883,32.6236,63.27,94,70,3.47
114,clyde river,CA,2021-12-27 00:12:13,70.4692,-68.5914,-12.78,85,94,6.87
115,lebu,CL,2021-12-27 00:12:13,-37.6167,-73.65,59.13,84,35,19.77
116,anage,BR,2021-12-27 00:12:14,-14.6122,-41.1356,70.2,98,55,2.95
117,pisco,PE,2021-12-27 00:12:14,-13.7,-76.2167,69.85,83,0,16.11
118,bosaso,SO,2021-12-27 00:12:15,11.2842,49.1816,73.54,77,8,5.06
119,beringovskiy,RU,2021-12-27 00:12:15,63.05,179.3167,-15.75,92,17,11.34
120,norman wells,CA,2021-12-27 00:12:15,65.282,-126.8329,-9.17,75,99,15.46
121,tiksi,RU,2021-12-27 00:12:16,71.6872,128.8694,-7.85,96,100,5.01
122,nikel,RU,2021-12-27 00:12:17,69.4128,30.222,21.38,97,100,2.77
123,port elizabeth,ZA,2021-12-27 00:12:12,-33.918,25.5701,68.09,92,99,0.27
124,berlevag,NO,2021-12-27 00:12:18,70.8578,29.0864,25.48,70,100,10.56
125,kavieng,PG,2021-12-27 00:12:18,-2.5744,150.7967,83.34,79,99,9.31
126,bac lieu,VN,2021-12-27 00:12:19,9.285,105.7244,76.44,88,9,6.82
127,itarema,BR,2021-12-27 00:12:19,-2.9248,-39.9167,80.44,79,100,9.24
128,dudinka,RU,2021-12-27 00:12:20,69.4058,86.1778,-6.57,92,78,15.08
129,ariogala,LT,2021-12-27 00:12:20,55.2667,23.4667,22.91,94,28,6.87
130,bluff,NZ,2021-12-27 00:12:21,-46.6,168.3333,60.8,61,34,13.87
131,tarauaca,BR,2021-12-27 00:12:21,-8.1614,-70.7656,81.03,74,100,2.8
132,belyy yar,RU,2021-12-27 00:12:22,53.6039,91.3903,-0.51,85,75,0.0
133,sinnamary,GF,2021-12-27 00:12:22,5.3833,-52.95,78.17,89,93,11.1
134,faya,SA,2021-12-27 00:12:23,18.3851,42.4509,55.92,47,10,3.33
135,lisakovsk,KZ,2021-12-27 00:12:23,52.5369,62.4936,10.51,84,100,21.47
136,shubarshi,KZ,2021-12-27 00:12:24,48.5872,57.1869,21.92,77,100,21.47
137,honiara,SB,2021-12-27 00:12:24,-9.4333,159.95,84.88,75,94,4.07
138,alta floresta,BR,2021-12-27 00:12:25,-9.8756,-56.0861,72.88,96,71,1.74
139,leningradskiy,RU,2021-12-27 00:12:25,69.3833,178.4167,-20.49,95,98,6.64
140,castle douglas,GB,2021-12-27 00:13:25,54.9409,-3.9278,43.34,98,100,4.72
141,tura,IN,2021-12-27 00:13:26,25.5198,90.2201,57.49,55,23,2.59
142,mar del plata,AR,2021-12-27 00:09:20,-38.0023,-57.5575,65.08,82,0,1.01
143,hasaki,JP,2021-12-27 00:13:26,35.7333,140.8333,34.29,36,0,14.7
144,dikson,RU,2021-12-27 00:13:27,73.5069,80.5464,-5.08,87,69,19.71
145,emilio carranza,MX,2021-12-27 00:13:27,19.9711,-96.6114,72.81,74,0,9.26
146,san quintin,MX,2021-12-27 00:13:28,30.4833,-115.95,58.39,69,87,19.57
147,olafsvik,IS,2021-12-27 00:13:28,64.8945,-23.7142,32.81,74,64,22.57
148,yellowknife,CA,2021-12-27 00:09:44,62.456,-114.3525,-12.59,96,96,3.87
149,gizo,SB,2021-12-27 00:13:29,-8.103,156.8419,82.53,79,99,7.67
150,madan,BG,2021-12-27 00:13:29,41.5,24.95,38.25,97,100,5.46
